date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-03-31,0.04008,0.045164,0.6084,0.0037199999999999998,31.262628533251103,16.68375760685416,22.29673,75.23051,55.44844,48.44928,7.25062,18.67826,54.22608,15.23478,9.1826,13.6
2023-04-01,0.039518,0.043156,0.6344,0.0027818627853925713,31.262628533251103,16.68375760685416,18.52472,60.68734,47.73679,46.31181,4.77787,17.77391,52.62608,14.95652,8.8,14.53913
2023-04-02,0.022317999999999998,0.045584,0.45,0.003058333333333333,47.42,29.58,21.58424,53.10142,45.47359,48.03017,4.81978,15.47826,38.05217,16.3826,9.00869,14.22608
2023-04-03,0.027677999999999998,0.044758000000000006,0.44285714285714284,0.0031714285714285716,48.4,31.08,28.24811,92.03688,69.86588,65.96814,8.50796,24.52173,46.81739,20.62608,12.24347,16.52173
2023-04-04,0.020537999999999997,0.045154,0.37799999999999995,0.0029877551020408163,36.48,20.3,26.02682,86.46269,65.96814,60.31014,7.9212,23.44347,41.6,20.45217,10.50434,14.9913
2023-04-05,0.015877551020408165,0.033526,0.429,0.0025208333333333333,17.3,11.3,24.14082,84.66051,61.02263,43.92288,11.65129,23.96521,23.40869,18.15652,8.5913,11.7913
2023-04-06,0.020104,0.033512,0.6879591836734694,0.002410204081632653,59.8,16.68375760685416,20.03352,80.21793,66.30343,35.24727,16.42917,22.46956,20.69565,18.36521,9.56521,9.53043
2023-04-07,0.020596,0.035668000000000005,0.5077551020408163,0.002853061224489796,31.262628533251103,16.68375760685416,20.11735,76.11064,61.23218,35.16345,11.44174,20.20869,21.21739,17.46086,8.10434,10.64347
2023-04-08,0.016052,0.03484,0.3285416666666667,0.002642857142857143,39.42,7.38,16.51299,61.56747,44.71919,33.98994,7.20871,19.65217,21.66956,15.86086,9.07826,11.51304
2023-04-09,0.017942,0.03802,0.43340425531914895,0.0031897959183673466,59.84,15.86,20.11735,54.77787,43.50377,36.75607,6.7896,19.65217,22.22608,15.16521,8.3826,10.67826
